ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
202087,Dick,Guangzhou,male,1.74,83.0,84.0,81.0,65.0,88.0,50.0,100.0,100.0,100.0,,60
202088,Marshal,Guangzhou,male,1.81,71.0,73.0,86.0,73.0,88.0,100.0,100.0,80.0,70.0,,80
202089,Harrison,Shenzhen,male,1.64,82.0,94.0,84.0,78.0,92.0,70.0,70.0,100.0,90.0,,70
202090,Vera,Beijing,male,1.72,74.0,84.0,76.0,84.0,91.0,100.0,60.0,70.0,80.0,,80
202091,Monica,Shanghai,male,1.72,85.0,82.0,81.0,76.0,88.0,100.0,100.0,60.0,60.0,,70
202092,Roy,Shanghai,female,1.61,77.0,87.0,87.0,72.0,89.0,70.0,100.0,70.0,80.0,,60
202093,Owen,Beijing,female,1.56,76.0,94.0,96.0,72.0,92.0,60.0,60.0,80.0,40.0,,70
202094,Glendon,Guangzhou,female,1.68,81.0,56.0,84.0,61.0,84.0,60.0,100.0,100.0,80.0,,80
202095,Britney,Guangzhou,female,1.66,78.0,84.0,91.0,72.0,91.0,50.0,100.0,90.0,100.0,,60
202096,Miranda,Shenzhen,male,1.72,72.0,77.0,78.0,77.0,91.0,90.0,100.0,100.0,60.0,,80
202097,Andrew,Shanghai,male,1.68,76.0,71.0,83.0,75.0,93.0,100.0,70.0,100.0,40.0,,60
202098,Elijah,Shenzhen,female,1.6,67.0,77.0,87.0,62.0,91.0,60.0,100.0,80.0,90.0,,90
202099,Alexander,Beijing,male,1.69,88.0,77.0,83.0,75.0,88.0,70.0,60.0,90.0,80.0,,90
202100,Octavia,Shenzhen,female,1.64,77.0,61.0,84.0,91.0,93.0,70.0,90.0,60.0,80.0,,70
202101,Jonathan,Shanghai,male,1.63,80.0,78.0,91.0,64.0,88.0,90.0,80.0,70.0,50.0,,90
202102,Violet,Shenzhen,female,1.63,76.0,78.0,93.0,78.0,92.0,100.0,90.0,100.0,100.0,,80
202104,Mia,Guangzhou,female,1.63,85.0,78.0,76.0,68.0,91.0,100.0,70.0,60.0,100.0,,70
202105,Frederica,Guangzhou,male,1.67,80.0,97.0,86.0,52.0,89.0,60.0,60.0,90.0,50.0,,80
202106,Carry,Shenzhen,female,1.67,76.0,72.0,83.0,59.0,92.0,80.0,50.0,50.0,90.0,,80
202107,Tamara,Shanghai,female,1.56,81.0,74.0,79.0,68.0,87.0,100.0,60.0,80.0,80.0,,60
202108,Robert,Guangzhou,male,1.66,82.0,79.0,82.0,65.0,89.0,70.0,90.0,90.0,70.0,,70
202109,Edmund,Shanghai,female,1.59,82.0,78.0,97.0,66.0,91.0,70.0,100.0,80.0,80.0,,70
