ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
202016,Rebecca,Guangzhou,female,1.6,0.35415,-0.03264,0.05543,-1.25444,-1.89063,1.14038,1.35001,-0.19263,0.44906,,70.0
202017,Dolores,Shanghai,male,1.68,0.61667,0.72425,0.29045,0.70235,-1.41797,0.55923,-1.7077,1.08355,1.02955,,70.0
202018,Sierra,Shanghai,male,1.61,-0.69593,1.48115,-1.35469,1.19155,-0.47266,-1.7654,0.12692,1.08355,1.61005,,80.0
202019,Stanley,Guangzhou,female,1.63,0.8792,0.39987,0.99551,0.09085,-0.47266,-0.02193,-1.09616,-1.46881,-0.71193,,60.0
202020,Hank,Beijing,male,1.77,-1.22097,-2.08707,0.52547,-0.39835,-0.94531,0.55923,-1.09616,1.08355,-1.29242,,70.0
202021,Adelaide,Beijing,female,1.47,0.8792,0.29174,0.52547,0.21315,-0.47266,-1.7654,1.35001,1.08355,-0.13143,,80.0
202022,Megan,Shenzhen,female,1.6,-0.95845,-0.14077,0.52547,-0.15375,-1.89063,-0.60309,1.35001,1.08355,-0.71193,,70.0
202023,Duke,Shanghai,male,1.67,-1.22097,-1.4383,0.29045,0.21315,0.0,-1.18424,-1.09616,1.08355,0.44906,,60.0
202024,Teresa,Shenzhen,male,1.63,-0.17089,-2.1952,-0.41461,-0.03145,1.41797,-0.60309,1.35001,0.44546,-0.71193,,70.0
202025,Victoria,Shenzhen,female,1.53,0.35415,0.508,1.46555,-0.76524,0.47266,0.55923,0.12692,0.44546,0.44906,,70.0
202026,Donna,Shenzhen,male,1.66,-1.48349,0.508,0.05543,-0.03145,0.47266,-1.7654,-1.09616,1.08355,-1.29242,,80.0
202027,Angelina,Beijing,male,1.64,-0.17089,-2.73583,0.29045,0.09085,-0.47266,-1.7654,0.12692,1.08355,1.02955,,80.0
202028,Jeffery,Shanghai,male,1.71,0.35415,0.18361,0.76049,-0.52065,-0.47266,-1.18424,0.12692,-1.46881,-1.87291,,80.0
202029,June,Shenzhen,male,1.66,0.35415,-1.33017,0.52547,0.70235,0.94531,-0.60309,0.12692,-0.19263,-0.13143,,70.0
202030,Mary,Shenzhen,female,1.54,2.71684,1.26489,1.23053,0.94695,0.47266,1.14038,-0.48462,-0.83072,-0.71193,,70.0
202031,Editha,Guangzhou,female,1.6,1.66676,0.94051,-0.41461,0.33545,0.94531,-0.02193,1.35001,-0.83072,-1.29242,,80.0
202032,Howard,Shenzhen,female,1.61,0.09163,-0.03264,-1.35469,0.0,0.0,0.55923,1.35001,1.08355,-1.29242,,80.0
202033,Pamela,Shanghai,male,1.67,1.14172,-0.57328,-0.17959,-0.39835,1.41797,1.14038,-1.7077,-0.83072,-0.71193,,70.0
202034,Selina,Shanghai,female,1.61,0.35415,1.26489,-0.88465,-0.15375,0.47266,0.55923,0.73847,0.44546,1.02955,,80.0
202035,Alicia,Shenzhen,male,1.63,-0.69593,-1.54643,-1.35469,0.45775,0.47266,1.14038,0.12692,-1.46881,-1.29242,,
202036,Mickey,Guangzhou,female,1.52,0.8792,0.39987,0.29045,-1.74364,0.47266,-0.60309,0.73847,1.08355,-0.13143,,70.0
202037,Christian,Guangzhou,female,1.69,-1.48349,-0.46515,0.29045,-1.13214,0.47266,-0.60309,0.12692,-1.46881,1.61005,,90.0
202038,Leopold,Beijing,male,1.7,1.40424,0.29174,1.23053,-0.88754,0.47266,0.55923,0.12692,-0.19263,-0.71193,,80.0
202039,Claudia,Shanghai,female,1.65,-0.69593,-0.03264,-0.17959,1.92534,-0.47266,0.55923,-0.48462,1.08355,-0.13143,,70.0
202040,Manda,Beijing,female,1.63,-0.43341,0.18361,1.46555,-1.37674,-0.94531,-0.02193,1.35001,-0.83072,0.44906,,70.0
202041,Tiffany,Beijing,female,1.55,0.8792,0.39987,1.46555,0.94695,-0.47266,1.14038,0.12692,1.08355,-0.71193,,70.0
202042,Angelia,Shanghai,male,1.74,0.61667,1.04863,0.29045,-1.74364,-0.47266,-0.60309,-0.48462,-1.46881,0.44906,,
202043,Nikita,Shanghai,female,1.61,0.09163,0.07549,-0.64963,0.21315,0.47266,-1.18424,0.12692,-2.10691,-0.13143,,90.0
202044,Wanda,Shenzhen,male,1.59,0.35415,-1.65456,-0.64963,-0.27605,0.94531,0.55923,-0.48462,0.44546,0.44906,,80.0
202045,Cosmo,Beijing,female,1.62,1.40424,-0.68141,1.23053,0.45775,0.47266,-0.02193,-0.48462,-0.19263,1.61005,,
202046,Isaac,Shanghai,female,1.55,0.8792,-0.35703,0.52547,1.31384,-2.36328,-0.02193,-1.09616,-0.83072,-1.87291,,80.0
202047,Constance,Shanghai,male,1.67,-0.69593,-0.35703,0.99551,-0.76524,0.0,1.14038,-1.09616,-1.46881,-0.71193,,90.0
202048,Leslie ,Beijing,female,1.57,0.35415,-0.14077,0.05543,1.19155,0.47266,1.14038,-1.09616,1.08355,0.44906,,70.0
202049,Lucy,Beijing,male,1.68,0.09163,1.58927,-0.64963,-0.76524,0.0,-1.18424,-1.09616,1.08355,-0.13143,,60.0
202050,Zelda,Shanghai,female,1.6,1.14172,-0.35703,-0.41461,-0.39835,0.0,1.14038,-0.48462,1.08355,-0.71193,,80.0
202051,Ethan,Beijing,male,1.65,-0.43341,0.72425,0.76049,-0.52065,1.41797,-1.7654,1.35001,-0.19263,-0.71193,,70.0
202052,Sally,Guangzhou,male,1.77,0.35415,1.48115,-0.41461,-0.03145,-0.94531,0.55923,0.12692,-1.46881,0.44906,,80.0
202053,Joliet,Guangzhou,female,1.55,0.09163,-0.03264,0.76049,-1.13214,-1.41797,-1.18424,0.12692,-0.19263,-0.13143,,70.0
202054,John,Shenzhen,male,1.66,0.35415,-1.22205,-0.17959,-1.13214,-1.41797,-1.7654,-1.09616,0.44546,-1.87291,,
202056,Hugo,Guangzhou,male,1.65,0.09163,-0.68141,0.99551,0.82465,0.47266,-1.18424,1.35001,0.44546,-0.71193,,
202057,Amy,Beijing,female,1.64,1.14172,-0.03264,0.99551,-1.62134,0.0,-0.02193,1.35001,0.44546,1.02955,,70.0
202058,Martha,Guangzhou,male,1.62,-0.95845,0.29174,-1.58971,0.70235,0.47266,1.14038,-1.09616,1.08355,0.44906,,80.0
202059,Nicholas,Guangzhou,male,1.63,0.09163,-0.57328,0.29045,0.58005,-0.47266,-0.02193,0.12692,1.08355,0.44906,,90.0
202060,Todd,Guangzhou,male,1.72,-0.95845,0.07549,-0.17959,-0.39835,-1.41797,-0.60309,0.73847,0.44546,1.61005,,80.0
202061,Marcy,Guangzhou,male,1.66,-0.69593,0.72425,0.76049,1.06925,-1.41797,0.55923,-1.09616,0.44546,1.02955,,70.0
202062,Winnie,Beijing,male,1.71,0.35415,0.508,0.29045,0.09085,0.0,-1.18424,-0.48462,1.08355,0.44906,,70.0
202063,Adeline,Shenzhen,male,1.63,0.09163,0.508,0.52547,0.09085,0.94531,1.14038,1.35001,-1.46881,-0.71193,,
202064,Timothy,Beijing,male,1.69,0.8792,0.83238,0.29045,0.94695,1.89063,0.55923,-1.09616,1.08355,-0.13143,,80.0
202065,Olivia,Shenzhen,female,1.69,0.35415,-1.00579,0.76049,0.21315,-0.47266,-0.60309,0.73847,1.08355,0.44906,,90.0
202066,Geoffrey,Shanghai,female,1.65,0.09163,0.72425,-0.88465,-0.27605,-0.94531,1.14038,-1.09616,-0.83072,-1.29242,,60.0
202067,Maxine,Beijing,male,1.66,1.66676,-0.03264,-0.41461,0.94695,0.0,-1.18424,-1.09616,1.08355,-0.71193,,80.0
202068,Lorraine,Shenzhen,male,1.62,1.40424,0.07549,-2.7648,-0.03145,-0.47266,1.14038,-1.7077,1.08355,-0.13143,,80.0
202069,Eva,Shenzhen,female,1.55,-2.00853,1.37302,-0.17959,-0.39835,0.94531,0.55923,-0.48462,1.08355,-0.71193,,70.0
202070,Tina,Beijing,male,1.73,-1.48349,1.26489,-1.11967,1.06925,-2.36328,0.55923,-0.48462,0.44546,1.61005,,70.0
202071,Phoebe,Shanghai,male,1.7,-0.43341,0.61612,1.46555,-0.15375,-1.41797,0.55923,-1.09616,-0.19263,1.02955,,70.0
202072,Karida,Guangzhou,female,1.49,-0.69593,1.04863,-0.64963,-0.52065,0.94531,1.14038,0.12692,-0.83072,1.02955,,70.0
202073,Juliana,Guangzhou,female,1.51,0.8792,-0.89766,-1.11967,-0.39835,-1.41797,1.14038,1.35001,-1.46881,-0.71193,,80.0
202074,Charlotte,Beijing,female,1.6,-1.22097,-0.14077,-0.88465,-0.03145,0.94531,0.55923,-1.7077,1.08355,-1.29242,,80.0
202075,Demi,Shenzhen,female,1.64,1.14172,-1.33017,-0.64963,0.58005,0.94531,0.55923,-0.48462,-2.10691,-0.13143,,70.0
202076,David,Guangzhou,male,1.65,-0.17089,0.508,0.29045,0.33545,1.41797,1.14038,0.12692,0.44546,0.44906,,80.0
202077,Melissa,Shenzhen,female,1.59,-0.69593,0.83238,0.05543,0.09085,0.47266,-1.7654,1.35001,0.44546,1.02955,,70.0
202078,Sheila,Beijing,female,1.61,-0.17089,-1.22205,-0.64963,1.68074,0.94531,1.14038,-1.09616,-1.46881,1.61005,,80.0
202079,Henry,Shenzhen,male,1.76,0.35415,0.94051,-2.05975,2.29224,0.94531,0.55923,0.73847,0.44546,1.02955,,70.0
202080,Ivy,Beijing,female,1.53,0.09163,0.83238,-0.17959,0.58005,-0.94531,-1.18424,0.12692,0.44546,0.44906,,80.0
202081,Deborah,Shenzhen,male,1.65,-0.95845,1.6974,-0.17959,-0.52065,1.41797,1.14038,-1.09616,-1.46881,-0.71193,,80.0
202082,Caspar,Guangzhou,female,1.66,-2.27105,0.61612,-0.64963,-1.00984,0.0,-0.02193,1.35001,-1.46881,-0.13143,,70.0
202083,Susan,Shenzhen,male,1.63,-0.17089,-1.11392,0.52547,-3.21123,-0.47266,-0.60309,-0.48462,0.44546,1.61005,,70.0
202084,Ishara,Shenzhen,male,1.75,0.09163,-0.57328,0.29045,1.80304,-0.47266,-1.18424,0.73847,0.44546,-1.29242,,70.0
202085,lindsay,Beijing,female,1.55,-0.95845,-1.76269,-0.41461,-1.62134,-0.47266,-1.18424,1.35001,-0.19263,-1.29242,,70.0
202086,Noah,Guangzhou,female,1.59,0.61667,1.15676,0.76049,0.45775,-1.41797,-0.02193,0.73847,1.08355,-1.29242,,80.0
202087,Dick,Guangzhou,male,1.74,0.8792,0.508,-0.88465,-0.52065,-0.94531,-1.7654,1.35001,1.08355,1.61005,,60.0
202088,Marshal,Guangzhou,male,1.81,-2.27105,-0.68141,0.29045,0.45775,-0.94531,1.14038,1.35001,-0.19263,-0.13143,,80.0
202089,Harrison,Shenzhen,male,1.64,0.61667,1.58927,-0.17959,1.06925,0.94531,-0.60309,-0.48462,1.08355,1.02955,,70.0
202090,Vera,Beijing,male,1.72,-1.48349,0.508,-2.05975,1.80304,0.47266,1.14038,-1.09616,-0.83072,0.44906,,80.0
202091,Monica,Shanghai,male,1.72,1.40424,0.29174,-0.88465,0.82465,-0.94531,1.14038,1.35001,-1.46881,-0.71193,,70.0
202092,Roy,Shanghai,female,1.61,-0.69593,0.83238,0.52547,0.33545,-0.47266,-0.60309,1.35001,-0.83072,0.44906,,
202093,Owen,Beijing,female,1.56,-0.95845,1.58927,2.64064,0.33545,0.94531,-1.18424,-1.09616,-0.19263,-1.87291,,70.0
202094,Glendon,Guangzhou,female,1.68,0.35415,-2.51958,-0.17959,-1.00984,-2.83594,-1.18424,1.35001,1.08355,0.44906,,80.0
202095,Britney,Guangzhou,female,1.66,-0.43341,0.508,1.46555,0.33545,0.47266,-1.7654,1.35001,0.44546,1.61005,,60.0
202096,Miranda,Shenzhen,male,1.72,-2.00853,-0.2489,-1.58971,0.94695,0.47266,0.55923,1.35001,1.08355,-0.71193,,80.0
202097,Andrew,Shanghai,male,1.68,-0.95845,-0.89766,-0.41461,0.70235,1.41797,1.14038,-0.48462,1.08355,-1.87291,,60.0
202098,Elijah,Shenzhen,female,1.6,-3.32113,-0.2489,0.52547,-0.88754,0.47266,-1.18424,1.35001,-0.19263,1.02955,,90.0
202099,Alexander,Beijing,male,1.69,2.1918,-0.2489,-0.41461,0.70235,-0.94531,-0.60309,-1.09616,0.44546,0.44906,,90.0
202100,Octavia,Shenzhen,female,1.64,-0.69593,-1.97894,-0.17959,2.65914,1.41797,-0.60309,0.73847,-1.46881,0.44906,,70.0
202101,Jonathan,Shanghai,male,1.63,0.09163,-0.14077,1.46555,-0.64295,-0.94531,0.55923,0.12692,-0.83072,-1.29242,,90.0
202102,Violet,Shenzhen,female,1.63,-0.95845,-0.14077,1.93558,1.06925,0.94531,1.14038,0.73847,1.08355,1.61005,,80.0
202104,Mia,Guangzhou,female,1.63,1.40424,-0.14077,-2.05975,-0.15375,0.47266,1.14038,-0.48462,-1.46881,1.61005,,70.0
202105,Frederica,Guangzhou,male,1.67,0.09163,1.91366,0.29045,-2.11054,-0.47266,-1.18424,-1.09616,0.44546,-1.29242,,80.0
202106,Carry,Shenzhen,female,1.67,-0.95845,-0.78954,-0.41461,-1.25444,0.94531,-0.02193,-1.7077,-2.10691,1.02955,,80.0
202107,Tamara,Shanghai,female,1.56,0.35415,-0.57328,-1.35469,-0.15375,-1.41797,1.14038,-1.09616,-0.19263,0.44906,,60.0
202108,Robert,Guangzhou,male,1.66,0.61667,-0.03264,-0.64963,-0.52065,-0.47266,-0.60309,0.73847,0.44546,-0.13143,,70.0
202109,Edmund,Shanghai,female,1.59,0.61667,-0.14077,2.87566,-0.39835,0.47266,-0.60309,1.35001,-0.19263,0.44906,,70.0
